hhid,round,comment,s12q14,s12q15,s12q1,s12q1b,s12q2,s12q2b,s12q3,s12q4,s12q5,s12q6,s12q6b,s12q7,s12q8,s12q9,s12q9b,s12q10a,s12q10b,s12q11,s12q12,s12q12b,s12q13
13018,5,0,Remained the same,,,,,,,,,,,,,Public tap,,0,20,No,Protected well,,Yes
13018,6,0,Remained the same,,,,,,,,,,,,,Borehole,,3,,No,Borehole,,Yes
13019,1,,,,"Various (sticks, plastic, sheets, etc.)",,Sand/Earth,,1,Traditional fire,Collected firewood,Collected firewood,,No,,Unprotected well,,1,20,No,Unprotected well,,No
13019,3,0,Remained the same,,,,,,,,,,,,,River,,1,,No,River,,Yes
13019,4,0,Remained the same,,,,,,,,,,,,,Protected well,,3,,No,Protected well,,Yes
13019,5,0,Remained the same,,,,,,,,,,,,,Public tap,,0,10,No,Protected well,,Yes
13019,6,0,Remained the same,,,,,,,,,,,,,Unprotected well,,0,10,No,Unprotected well,,Yes
13020,1,,,,"Various (sticks, plastic, sheets, etc.)",,Sand/Earth,,1,Traditional fire,Collected firewood,Collected firewood,,No,,Protected well,,1,20,No,Unprotected well,,Yes
13020,3,0,Remained the same,,,,,,,,,,,,,Unprotected well,,2,,No,Unprotected well,,No
13020,4,0,Remained the same,,,,,,,,,,,,,Unprotected well,,1,,No,Unprotected well,,Yes
13020,5,0,Remained the same,,,,,,,,,,,,,Borehole,,1,,No,Borehole,,Yes
13020,6,0,Remained the same,,,,,,,,,,,,,Public tap,,0,20,No,Borehole,,Yes
13021,1,,,,"Various (sticks, plastic, sheets, etc.)",,Sand/Earth,,1,Traditional fire,Collected firewood,Collected firewood,,No,,Protected well,,1,20,No,Unprotected well,,Yes
13021,3,0,Remained the same,,,,,,,,,,,,,Pan,,2,,No,Protected well,,Yes
13021,4,0,Remained the same,,,,,,,,,,,,,Unprotected well,,0,20,Yes,Unprotected well,,Yes
13021,5,0,Remained the same,,,,,,,,,,,,,Unprotected well,,0,30,No,Unprotected well,,Yes
13021,6,0,Remained the same,,,,,,,,,,,,,Borehole,,0,0,No,Borehole,,Yes
13022,1,,,,"Various (sticks, plastic, sheets, etc.)",,Sand/Earth,,1,Traditional fire,Collected firewood,Collected firewood,,No,,Protected well,,1,20,No,Unprotected well,,Yes
13022,3,0,Remained the same,,,,,,,,,,,,,Unprotected well,,2,,No,Unprotected well,,No
13022,4,0,Remained the same,,,,,,,,,,,,,Unprotected well,,1,,No,Unprotected well,,Yes
13022,5,0,Remained the same,,,,,,,,,,,,,Unprotected well,,0,1,No,Unprotected well,,Yes
13022,6,0,Remained the same,,,,,,,,,,,,,Unprotected well,,1,,No,Unprotected well,,Yes
13023,1,,,,"Various (sticks, plastic, sheets, etc.)",,Sand/Earth,,1,Traditional fire,Collected firewood,Collected firewood,,No,,Protected well,,1,10,No,Unprotected well,,Yes
13023,3,0,Remained the same,,,,,,,,,,,,,Pan,,1,,No,Protected well,,Yes
13023,4,0,Remained the same,,,,,,,,,,,,,Unprotected well,,0,30,No,Unprotected well,,No
13023,5,0,Remained the same,,,,,,,,,,,,,Unprotected well,,1,,No,Unprotected well,,Yes
13025,1,,,,"Various (sticks, plastic, sheets, etc.)",,Sand/Earth,,1,Traditional fire,Collected firewood,Collected firewood,,No,,Protected well,,0,20,No,Unprotected well,,Yes
13025,3,0,Remained the same,,,,,,,,,,,,,Protected well,,0,20,No,Protected well,,Yes
13025,4,0,Remained the same,,,,,,,,,,,,,Unprotected well,,0,5,No,Unprotected well,,Yes
13025,5,0,Remained the same,,,,,,,,,,,,,Protected well,,0,40,No,Protected well,,Yes
13025,6,0,Remained the same,,,,,,,,,,,,,Borehole,,0,30,No,Borehole,,Yes
